,ERG
"WDR45B>SSR2,-",1
"CCT3>RTF2,+",1
"SELENOM>NFE2L1,+",1
"EPB41L3>BAZ1B,+",1
"WDR45B>NME1,+",1
"TTC1>TKT,+",1
"WDR45B>TKT,+",1
"EPB41L3>TKT,+",1
"COX7B>CITED2,+",1
"EPB41L3>MED13,+",1
"PKM>NFE2L1,+",1
"EIF3F>RAB10,+",1
"WDR45B>RAB10,+",1
"CNBP>CMPK1,+",1
"CD151>GON4L,+",1
"PLD3>NDRG2,+",1
"NME1>SELENOT,+",1
"PSMB5>SELENOT,+",1
"C19orf70>DPYSL3,+",1
"PSMB5>RTF2,+",1
"HSPA2>RPN2,+",1
"PSMB5>MCAM,+",1
"PAIP2>KDELR1,+",1
"PLD3>MCAM,+",1
"ENSA>CHURC1,+",1
"CCT3>COPS6,+",1
"PLXND1>KIAA1109,+",1
"RAP1B>TUBB,+",1
"RAP1B>EIF4A1,+",1
"SUPT4H1>PLXND1,+",1
"NFIC>PSMC4,+",1
"GNAI2>RHOJ,+",1
"ISCU>CCT3,+",1
"ENSA>ISCU,+",1
"RNF145>DHX9,+",1
"CCT3>ISCU,+",1
"WDR45B>C12orf57,+",1
"PTPRA>CHMP2A,+",1
"GIMAP7>CHMP2A,+",1
"PSMA3>TPD52L1,+",1
"EPB41L3>CCT3,+",1
"LDHA>ARL6IP4,+",1
"MCMBP>PYURF,+",1
"ZNF292>SNX17,+",1
"RAMP3>FAM167B,+",1
"CAPZA2>ARL2,+",1
"RALBP1>HTRA1,+",1
"SNHG7>EIF4B,+",1
"TCF25>RPS27L,+",1
"FAM167B>PKP4,+",1
"EIF4B>HNRNPDL,+",1
"RAMP3>SBDS,+",1
"EIF4B>SERINC1,+",1
"FAM177A1>PSMB3,+",1
"TGFBR3>AK2,+",1
"RAMP3>TGFBR3,+",1
"RABAC1>TKT,+",1
"PSMA3>TKT,+",1
"SYF2>TKT,+",1
"ZEB1>ENTPD1,+",1
"TGFBR3>NEDD8,+",1
"PLXND1>CHCHD1,+",1
"EIF4B>SNHG7,+",1
"ZEB1>IL1R1,+",1
"PSMB3>IL1R1,+",1
"CHMP3>ARL2,+",1
"YY1>RHOJ,+",1
