,PTEN
"PSMB1>PDAP1,+",1
"GOLGA2>ERBIN,+",1
"CBX3>SHOC2,+",1
"EIF3D>UPF2,+",1
"TXNDC12>TAOK3,+",1
"SUCLG1>VPS37B,+",1
"TMEM50B>VPS37B,-",1
"ITSN2>GOLGA2,+",1
"AES>VPS37B,+",1
"KNOP1>ZBTB7A,+",1
"NDUFS1>ZBTB7A,-",1
"TMEM50B>SUCLG1,+",1
"CYTH1>EIF3D,+",1
"ZC3H14>SUCLG1,+",1
"CX3CL1>SUCLG1,+",1
"FDPS>ELMO1,+",1
"BEND7>SUCLG1,+",1
"ARID1A>ERGIC2,+",1
"EIF3D>DMAC1,+",1
"KDM2A>TMEM50B,+",1
"MAPRE1>KDM2A,+",1
"PBXIP1>CNOT4,+",1
"TXNDC12>SUCLG1,+",1
"KDM2A>C1orf115,+",1
"PSIP1>FDPS,+",1
"TMEM273>PBXIP1,+",1
"GNA11>C1orf115,+",1
"SMC4>C1orf115,+",1
"SAP30BP>SEC63,-",1
"FDPS>NFIL3,+",1
"VAT1>ARPC5,+",1
"FGD5-AS1>ACBD3,+",1
"CX3CL1>NUDCD1,+",1
"CCDC88A>DRAP1,+",1
"KDM2A>FGD5-AS1,+",1
"NME4>EIF3D,-",1
"TINAGL1>DRAP1,+",1
"ACTR1A>S100A4,+",1
"DMAC1>POLK,+",1
"OPTN>ITPRIP,+",1
"SAP30BP>SMARCE1,+",1
"TMEM273>SMARCE1,+",1
"CCDC88A>PBXIP1,+",1
"CSDE1>PPP1R7,+",1
"SAP30BP>NDUFS1,+",1
"TMEM273>NDUFS1,+",1
"EIF3D>PPP1R7,+",1
"LSM7>NDUFS1,+",1
"PSIP1>ARID1A,+",1
"RTF1>ACBD3,+",1
"SUCLG1>BEND7,+",1
"SAP30BP>DOCK9,+",1
"MCAM>WDR1,+",1
"PSIP1>SEC61B,+",1
"CCDC88A>GOLGA2,+",1
"SERPINH1>NUDCD1,-",1
"PSIP1>RBMX,+",1
"NFAT5>SLC39A1,+",1
"DMAC1>S100A4,+",1
"NME4>RND3,-",1
"FAM107B>LAP3,+",1
"VAT1>RND3,+",1
"ANKRD12>NUDT4,+",1
"SUMF2>NUDT4,+",1
"TPM1>HBP1,-",1
"ITSN2>IFNAR2,+",1
"EMC2>TCN2,+",1
"AK3>TCN2,+",1
"PEPD>SAP30BP,+",1
"PHF20L1>STX12,+",1
"PLK3>RND3,+",1
"CNOT4>TAOK3,+",1
"SMARCE1>COX7A2,+",1
"ITSN2>STX12,+",1
"SUMF2>PBXIP1,+",1
"PHF20L1>KDM2A,+",1
"ATP5F1A>DBI,+",1
"TXNDC12>STX12,+",1
"UBE2Q2>SPAG9,+",1
"LIPA>ERBIN,+",1
"NME4>STAT5B,+",1
"PTPRM>KDM2A,+",1
"C1orf115>PEPD,+",1
"CCDC88A>TXNDC12,+",1
"SUMF2>TMEM131,+",1
"MRPS34>TSR3,+",1
"SYNGR2>TSR3,-",1
"C1orf115>TCN2,+",1
"ZNF207>CDKN1B,+",1
"ITSN2>SLC39A1,+",1
"RAB5C>PSMB5,+",1
"CCDC88A>WDR1,+",1
"C1orf115>PTEN,+",1
"PEPD>C1orf115,+",1
