,AR
"AHNAK2>MRPS10,+",1
"EIF3M>PPP4R2,+",1
"ATP11A>MRPS10,+",1
"COPA>MIEN1,-",1
"ITFG1>IARS2,+",1
"POLR2K>EIF3D,+",1
"NFIL3>ZMYM4,+",1
"DNMT1>ZMYM4,+",1
"ATP6AP2>ZMYM4,+",1
"ATP6AP2>NFIL3,-",1
"POLR2K>NFIL3,+",1
"RPS17>FYTTD1,+",1
"ATP6AP2>FYTTD1,+",1
"GBP2>FYTTD1,+",1
"AR>PPP4R2,+",1
"POLR2K>FYTTD1,+",1
"COPA>FYTTD1,+",1
"ASPH>RTN3,+",1
"GATAD2B>GPATCH2L,-",1
"GNAQ>EZH1,+",1
"GSK3A>GPATCH2L,+",1
"CUTA>WASL,+",1
"POGZ>FRMD4B,+",1
"POGZ>PDE4D,+",1
"SMARCE1>PDE4D,+",1
"IARS2>PDE4D,+",1
"FLNA>DOCK9,+",1
"SHANK3>FGD4,+",1
"AHNAK2>FGD4,+",1
"GPM6A>FGD4,+",1
"DPM3>GSPT1,+",1
"CCDC14>GSPT1,+",1
"OTUD6B-AS1>RUNDC3B,+",1
"CALM3>BAZ2A,+",1
"FLNA>BAZ2A,+",1
"OTUD6B-AS1>CAND1,+",1
"NMT1>ROBO1,-",1
"OTUD6B-AS1>CNTLN,+",1
"ANKRD17>CNTLN,-",1
"OTUD6B-AS1>KNOP1,+",1
"KMT2C>PRKCH,+",1
"KIF1B>NAP1L4,+",1
"PPP4R2>PMP22,+",1
"ATL3>PMP22,+",1
"PTPRG>PMP22,+",1
"KMT2C>MYC,+",1
"POGZ>MYC,+",1
"SHANK3>PRKCH,+",1
"BIRC6>NMT1,+",1
"ATL3>AFF4,+",1
"SHANK3>CFI,+",1
"DPM3>ATL3,+",1
"AHNAK2>FIS1,+",1
"NUCB1>FIS1,+",1
"KIF1B>NMT1,+",1
"KNOP1>PDCD7,+",1
"TAP1>PDCD7,+",1
"CCDC14>NET1,+",1
"PTK2B>PABPN1,+",1
"C8orf59>SNCG,+",1
"EPS15>ODF2L,+",1
"FYTTD1>AHNAK2,+",1
"WASL>AHNAK2,+",1
"PTK2B>ESYT2,+",1
"MTPN>ESYT2,+",1
"ROBO1>PABPN1,+",1
"GHITM>NDUFV3,-",1
"WBP2>MFSD10,+",1
"NDUFS6>SSB,+",1
"BRD7>MIEN1,+",1
"WBP2>NOLC1,+",1
"XRN1>PSENEN,+",1
"NDUFS6>PSENEN,+",1
"SSB>SNCG,+",1
"TMEM44>ADAR,-",1
"KIF1B>NET1,+",1
"XRN1>VPS13A,+",1
"OTUD6B-AS1>DICER1,+",1
"ATL3>POGZ,+",1
"REV1>POGZ,+",1
"AR>YLPM1,+",1
"OTUD6B-AS1>YLPM1,+",1
"CAMSAP2>ANKRD17,+",1
"NDUFS6>VPS13A,+",1
"NDUFS6>ADAR,+",1
"DEPP1>VPS13A,+",1
"EPS15>SASH1,+",1
"EPS15>SNW1,+",1
"CALM3>SNW1,+",1
"PAWR>DEPP1,+",1
"PTK2B>GHITM,+",1
"SHANK3>NAP1L4,+",1
"SMARCE1>NAP1L4,+",1
"ANKRD17>NAP1L4,+",1
"S1PR1>TIAL1,-",1
"PPP4R2>PPIP5K2,+",1
"NEMF>PPIP5K2,+",1
"TAOK3>COPA,+",1
"TIAL1>MFSD10,-",1
"KDELR1>MFSD10,+",1
"STX12>ROBO1,-",1
"HLA-DQA1>AR,+",1
"KDELR1>RPS17,+",1
"PPP4R2>AR,+",1
"CAPNS1>PSENEN,+",1
"ELK4>SEC63,+",1
"PLCG2>SEC63,+",1
"BIRC6>SEC63,+",1
"ATL3>DIAPH2,+",1
"S1PR1>RPS17,+",1
"TIAL1>HIPK2,+",1
"GNAQ>CXorf36,+",1
"EPHX1>GADD45GIP1,+",1
"GADD45GIP1>TNFRSF14,-",1
"AR>TNFRSF14,+",1
"RAB14>NEMF,+",1
"ADAR>ADNP,-",1
"SETD2>ADNP,+",1
"TMEM43>THRAP3,-",1
"ZBTB38>GSK3A,+",1
"RAI14>NFE2L1,+",1
"KDELR1>GSK3A,+",1
"C8orf59>BRD7,+",1
"GPM6A>NET1,+",1
"PPP4R2>PSMA1,+",1
"MYCT1>YTHDF3,+",1
"TAOK3>YTHDF3,+",1
"BIRC6>DIAPH2,+",1
"NAP1L4>SMAD9,+",1
"CAMSAP2>SMARCE1,+",1
"SMARCE1>COPA,+",1
"PPP4R2>KMT2C,+",1
"NAP1L4>CCDC14,+",1
"CALM3>CCDC14,+",1
"DICER1>OTUD6B-AS1,+",1
"CNTLN>OTUD6B-AS1,+",1
"B4GALT1>TMEM259,+",1
"CAPNS1>COPA,+",1
"SMARCE1>MPDZ,+",1
"OGT>OS9,+",1
"CALM3>ARHGEF15,+",1
